Year,Methane_Emissions,N2o_Emissions
1895,116.9527,0.88188195
1896,118.30997,0.89141802
1897,119.66724,0.90140157
1898,121.02451,0.91168111
1899,122.38178,0.92210515
1900,123.73905,0.9325222
1901,124.8415,0.9446669
1902,125.94396,0.95993065
1903,127.04642,0.97764708
1904,128.14887,0.99722904
1905,129.25133,1.0181293
1906,130.35378,1.0397413
1907,131.45624,1.0614586
1908,132.5587,1.0826746
1909,133.66115,1.1027829
1910,134.76361,1.121177
1911,135.96943,1.1389722
1912,137.17525,1.1575596
1913,138.38107,1.1767464
1914,139.5869,1.1962611
1915,140.79272,1.2158443
1916,141.99854,1.2353217
1917,143.20436,1.254519
1918,144.41019,1.2732618
1919,145.61601,1.2913759
1920,146.82183,1.3086869
1921,147.86155,1.3257924
1922,148.90128,1.343275
1923,149.941,1.3609385
1924,150.98072,1.3796194
1925,152.02045,1.3998974
1926,153.06017,1.4211909
1927,154.09989,1.4429184
1928,155.13962,1.4644982
1929,156.17934,1.4853488
1930,157.21906,1.5048887
1931,158.34545,1.5226236
1932,159.47183,1.5385172
1933,160.59821,1.5526746
1934,161.7246,1.5653127
1935,162.85098,1.5771213
1936,163.97736,1.5889151
1937,165.10375,1.6015088
1938,166.23013,1.615717
1939,167.35651,1.6323545
1940,168.4829,1.6522358
1941,170.03046,1.7002044
1942,171.57803,1.7938613
1943,173.12559,1.9231582
1944,174.67315,2.0866797
1945,176.22072,2.280402
1946,177.76828,2.4903635
1947,179.31584,2.7026031
1948,180.86341,2.9031595
1949,182.41097,3.0780722
1950,183.95853,3.2133815
1951,189.11003,3.3186021
1952,194.26153,3.4111061
1953,199.41303,3.4887221
1954,204.56453,3.5543489
1955,209.71603,3.614111
1956,214.86753,3.6706801
1957,220.01902,3.7267318
1958,225.17052,3.7849451
1959,230.32202,3.8480013
1960,235.47352,3.9185827
1961,238.52217,4.0240052
1962,241.57083,4.1836477
1963,244.61948,4.3883117
1964,247.66813,4.6374693
1965,250.71679,4.8968181
1966,253.76544,5.195583
1967,256.81409,5.457478
1968,259.86274,5.619744
1969,262.9114,5.784831
1970,265.96005,5.9368752
1971,270.02505,5.6049759
1972,274.09004,5.9181309
1973,278.15504,6.0449043
1974,282.22003,5.9406002
1975,286.28503,6.1409693
1976,290.35002,6.3042588
1977,294.41502,6.534405
1978,298.48002,6.6193729
1979,302.54501,7.007773
1980,306.61001,7.0613923
1981,310.01251,6.8417522
1982,313.415,7.1189858
1983,316.8175,7.2168971
1984,320.22,7.0481314
1985,323.6225,7.0169243
1986,327.025,7.0704917
1987,330.42749,7.4616728
1988,333.82999,7.2025077
1989,337.23249,7.3310397
1990,340.63499,7.5856812
1991,336.59218,7.4023631
1992,332.54937,7.7989323
1993,328.50656,7.3131034
1994,324.46375,7.5072841
1995,320.42094,7.6191035
1996,316.37814,7.6520638
1997,312.33533,7.9097526
1998,308.29252,7.8957263
1999,304.24971,7.5269849
2000,300.2069,7.4566
2001,303.4092,7.503
2002,306.5788,7.5487
2003,309.7164,7.5942
2004,312.824,7.6394
2005,315.9027,7.6841
2006,317.6624,7.7838
2007,319.4203,7.8838
2008,321.17513,7.9843333
2009,322.92997,8.0848667
2010,324.6848,8.1854
2011,323.38128,8.15982
2012,322.07776,8.13424
2013,320.77424,8.10866
2014,319.47072,8.08308
2015,318.1672,8.0575
2016,316.86368,8.03192
2017,315.56016,8.00634
2018,314.25664,7.98076
2019,312.95312,7.95518
2020,311.6496,7.9296
2021,313.11564,8.01843
2022,314.58168,8.10726
2023,316.04772,8.19609
2024,317.51376,8.28492
2025,318.9798,8.37375
2026,320.44584,8.46258
2027,321.91188,8.55141
2028,323.37792,8.64024
2029,324.84396,8.72907
2030,326.31,8.8179
2031,328.09167,8.90894
2032,329.87334,8.99998
2033,331.65501,9.09102
2034,333.43668,9.18206
2035,335.21835,9.2731
2036,337.00002,9.36414
2037,338.78169,9.45518
2038,340.56336,9.54622
2039,342.34503,9.63726
2040,344.1267,9.7283
2041,345.22016,9.80918
2042,346.31362,9.89006
2043,347.40708,9.97094
2044,348.50054,10.05182
2045,349.594,10.1327
2046,350.68746,10.21358
2047,351.78092,10.29446
2048,352.87438,10.37534
2049,353.96784,10.45622
2050,355.0613,10.5371
2051,355.94998,10.6195
2052,356.83866,10.7019
2053,357.72734,10.7843
2054,358.61602,10.8667
2055,359.5047,10.9491
2056,360.39338,11.0315
2057,361.28206,11.1139
2058,362.17074,11.1963
2059,363.05942,11.2787
2060,363.9481,11.3611
2061,363.5485,11.42811
2062,363.1489,11.49512
2063,362.7493,11.56213
2064,362.3497,11.62914
2065,361.9501,11.69615
2066,361.5505,11.76316
2067,361.1509,11.83017
2068,360.7513,11.89718
2069,360.3517,11.96419
2070,359.9521,12.0312
2071,357.94994,12.06433
2072,355.94778,12.09746
2073,353.94562,12.13059
2074,351.94346,12.16372
2075,349.9413,12.19685
2076,347.93914,12.22998
2077,345.93698,12.26311
2078,343.93482,12.29624
2079,341.93266,12.32937
2080,339.9305,12.3625
2081,332.93877,12.36222
2082,325.94704,12.36194
2083,318.95531,12.36166
2084,311.96358,12.36138
2085,304.97185,12.3611
2086,297.98012,12.36082
2087,290.98839,12.36054
2088,283.99666,12.36026
2089,277.00493,12.35998
2090,270.0132,12.3597
2091,267.60942,12.35073
2092,265.20564,12.34176
2093,262.80186,12.33279
2094,260.39808,12.32382
2095,257.9943,12.31485
2096,255.59052,12.30588
2097,253.18674,12.29691
2098,250.78296,12.28794
2099,248.37918,12.27897
2100,245.9754,12.27
2101,245.99464,12.203604
2102,246.01389,12.137208
2103,246.03313,12.070812
2104,246.05238,12.004416
2105,246.07162,11.93802
2106,246.09086,11.871624
2107,246.11011,11.805228
2108,246.12935,11.738832
2109,246.1486,11.672436
2110,246.16784,11.60604
2111,246.18708,11.539644
2112,246.20633,11.473248
2113,246.22557,11.406852
2114,246.24482,11.340456
2115,246.26406,11.27406
2116,246.2833,11.207664
2117,246.30255,11.141268
2118,246.32179,11.074872
2119,246.34104,11.008476
2120,246.36028,10.94208
2121,246.37952,10.875684
2122,246.39877,10.809288
2123,246.41801,10.742892
2124,246.43726,10.676496
2125,246.4565,10.6101
2126,246.47573,10.543696
2127,246.49496,10.477291
2128,246.51419,10.410887
2129,246.53342,10.344483
2130,246.55265,10.278078
2131,246.57188,10.211674
2132,246.59111,10.14527
2133,246.61034,10.078865
2134,246.62957,10.012461
2135,246.6488,9.9460565
2136,246.66803,9.8796522
2137,246.68727,9.8132478
2138,246.7065,9.7468435
2139,246.72573,9.6804391
2140,246.74496,9.6140348
2141,246.76419,9.5476304
2142,246.78342,9.4812261
2143,246.80265,9.4148217
2144,246.82188,9.3484174
2145,246.84111,9.282013
2146,246.86034,9.2156087
2147,246.87957,9.1492043
2148,246.8988,9.0828
2149,247.6444,9.0373
2150,247.7303,9.0391
2151,247.7774,9.0405
2152,247.8331,9.0411
2153,247.8896,9.0414
2154,247.9452,9.0414
2155,247.9997,9.0414
2156,248.05092,9.0414
2157,248.10214,9.0414
2158,248.15336,9.0414
2159,248.20458,9.0414
2160,248.2558,9.0414
2161,248.30274,9.0414
2162,248.34968,9.0414
2163,248.39662,9.0414
2164,248.44356,9.0414
2165,248.4905,9.0414
2166,248.53416,9.0414
2167,248.57782,9.0414
2168,248.62148,9.0414
2169,248.66514,9.0414
2170,248.7088,9.0414
2171,248.74978,9.0414
2172,248.79076,9.0414
2173,248.83174,9.0414
2174,248.87272,9.0414
2175,248.9137,9.0414
2176,248.95232,9.0414
2177,248.99094,9.0414
2178,249.02956,9.0414
2179,249.06818,9.0414
2180,249.1068,9.0414
2181,249.14344,9.0414
2182,249.18008,9.0414
2183,249.21672,9.0414
2184,249.25336,9.0414
2185,249.29,9.0414
2186,249.32488,9.0414
2187,249.35976,9.0414
2188,249.39464,9.0414
2189,249.42952,9.0414
2190,249.4644,9.0414
2191,249.49772,9.0414
2192,249.53104,9.0414
2193,249.56436,9.0414
2194,249.59768,9.0414
2195,249.631,9.0414
2196,249.66292,9.0414
2197,249.69484,9.0414
2198,249.72676,9.0414
2199,249.75868,9.0414
2200,249.7906,9.0414
2201,249.82068,9.0414
2202,249.85076,9.0414
2203,249.88084,9.0414
2204,249.91092,9.0414
2205,249.941,9.0414
2206,249.97108,9.0414
2207,250.00116,9.0414
2208,250.03124,9.0414
2209,250.06132,9.0414
2210,250.0914,9.0414
2211,250.11931,9.0414
2212,250.14722,9.0414
2213,250.17513,9.0414
2214,250.20304,9.0414
2215,250.23095,9.0414
2216,250.25886,9.0414
2217,250.28677,9.0414
2218,250.31468,9.0414
2219,250.34259,9.0414
2220,250.3705,9.0414
2221,250.3966,9.0414
2222,250.4227,9.0414
2223,250.4488,9.0414
2224,250.4749,9.0414
2225,250.501,9.0414
2226,250.5271,9.0414
2227,250.5532,9.0414
2228,250.5793,9.0414
2229,250.6054,9.0414
2230,250.6315,9.0414
2231,250.65601,9.0414
2232,250.68052,9.0414
2233,250.70503,9.0414
2234,250.72954,9.0414
2235,250.75405,9.0414
2236,250.77856,9.0414
2237,250.80307,9.0414
2238,250.82758,9.0414
2239,250.85209,9.0414
2240,250.8766,9.0414
2241,250.89972,9.0414
2242,250.92284,9.0414
2243,250.94596,9.0414
2244,250.96908,9.0414
2245,250.9922,9.0414
2246,251.01532,9.0414
2247,251.03844,9.0414
2248,251.06156,9.0414
2249,251.08468,9.0414
2250,251.1078,9.0414
2251,251.12888,9.0414
2252,251.14995,9.0414
2253,251.17103,9.0414
2254,251.1921,9.0414
2255,251.21318,9.0414
2256,251.23426,9.0414
2257,251.25533,9.0414
2258,251.27641,9.0414
2259,251.29748,9.0414
2260,251.31856,9.0414
2261,251.33964,9.0414
2262,251.36071,9.0414
2263,251.38179,9.0414
2264,251.40286,9.0414
2265,251.42394,9.0414
2266,251.44502,9.0414
2267,251.46609,9.0414
2268,251.48717,9.0414
2269,251.50824,9.0414
2270,251.52932,9.0414
2271,251.5504,9.0414
2272,251.57147,9.0414
2273,251.59255,9.0414
2274,251.61362,9.0414
2275,251.6347,9.0414
2276,251.65339,9.0414
2277,251.67208,9.0414
2278,251.69076,9.0414
2279,251.70945,9.0414
2280,251.72814,9.0414
2281,251.74683,9.0414
2282,251.76552,9.0414
2283,251.7842,9.0414
2284,251.80289,9.0414
2285,251.82158,9.0414
2286,251.84027,9.0414
2287,251.85896,9.0414
2288,251.87764,9.0414
2289,251.89633,9.0414
2290,251.91502,9.0414
2291,251.93371,9.0414
2292,251.9524,9.0414
2293,251.97108,9.0414
2294,251.98977,9.0414
2295,252.00846,9.0414
2296,252.02715,9.0414
2297,252.04584,9.0414
2298,252.06452,9.0414
2299,252.08321,9.0414
2300,252.1019,9.0414
2301,252.1187,9.0414
2302,252.1355,9.0414
2303,252.1523,9.0414
2304,252.1691,9.0414
2305,252.1859,9.0414
2306,252.2027,9.0414
2307,252.2195,9.0414
2308,252.2363,9.0414
2309,252.2531,9.0414
2310,252.2699,9.0414
2311,252.2867,9.0414
2312,252.3035,9.0414
2313,252.3203,9.0414
2314,252.3371,9.0414
2315,252.3539,9.0414
2316,252.3707,9.0414
2317,252.3875,9.0414
2318,252.4043,9.0414
2319,252.4211,9.0414
2320,252.4379,9.0414
2321,252.4547,9.0414
2322,252.4715,9.0414
2323,252.4883,9.0414
2324,252.5051,9.0414
2325,252.5219,9.0414
2326,252.53715,9.0414
2327,252.5524,9.0414
2328,252.56766,9.0414
2329,252.58291,9.0414
2330,252.59816,9.0414
2331,252.61341,9.0414
2332,252.62866,9.0414
2333,252.64392,9.0414
2334,252.65917,9.0414
2335,252.67442,9.0414
2336,252.68967,9.0414
2337,252.70492,9.0414
2338,252.72018,9.0414
2339,252.73543,9.0414
2340,252.75068,9.0414
2341,252.76593,9.0414
2342,252.78118,9.0414
2343,252.79644,9.0414
2344,252.81169,9.0414
2345,252.82694,9.0414
2346,252.84219,9.0414
2347,252.85744,9.0414
2348,252.8727,9.0414
2349,252.88795,9.0414
2350,252.9032,9.0414
2351,252.91716,9.0414
2352,252.93113,9.0414
2353,252.94509,9.0414
2354,252.95906,9.0414
2355,252.97302,9.0414
2356,252.98698,9.0414
2357,253.00095,9.0414
2358,253.01491,9.0414
2359,253.02888,9.0414
2360,253.04284,9.0414
2361,253.0568,9.0414
2362,253.07077,9.0414
2363,253.08473,9.0414
2364,253.0987,9.0414
2365,253.11266,9.0414
2366,253.12662,9.0414
2367,253.14059,9.0414
2368,253.15455,9.0414
2369,253.16852,9.0414
2370,253.18248,9.0414
2371,253.19644,9.0414
2372,253.21041,9.0414
2373,253.22437,9.0414
2374,253.23834,9.0414
2375,253.2523,9.0414
2376,253.26518,9.0414
2377,253.27805,9.0414
2378,253.29093,9.0414
2379,253.3038,9.0414
2380,253.31668,9.0414
2381,253.32956,9.0414
2382,253.34243,9.0414
2383,253.35531,9.0414
2384,253.36818,9.0414
2385,253.38106,9.0414
2386,253.39394,9.0414
2387,253.40681,9.0414
2388,253.41969,9.0414
2389,253.43256,9.0414
2390,253.44544,9.0414
2391,253.45832,9.0414
2392,253.47119,9.0414
2393,253.48407,9.0414
2394,253.49694,9.0414
2395,253.50982,9.0414
2396,253.5227,9.0414
2397,253.53557,9.0414
2398,253.54845,9.0414
2399,253.56132,9.0414
2400,253.5742,9.0414
2401,253.58614,9.0414
2402,253.59809,9.0414
2403,253.61003,9.0414
2404,253.62198,9.0414
2405,253.63392,9.0414
2406,253.64586,9.0414
2407,253.65781,9.0414
2408,253.66975,9.0414
2409,253.6817,9.0414
2410,253.69364,9.0414
2411,253.70558,9.0414
2412,253.71753,9.0414
2413,253.72947,9.0414
2414,253.74142,9.0414
2415,253.75336,9.0414
2416,253.7653,9.0414
2417,253.77725,9.0414
2418,253.78919,9.0414
2419,253.80114,9.0414
2420,253.81308,9.0414
2421,253.82502,9.0414
2422,253.83697,9.0414
2423,253.84891,9.0414
2424,253.86086,9.0414
2425,253.8728,9.0414
2426,253.88393,9.0414
2427,253.89506,9.0414
2428,253.90618,9.0414
2429,253.91731,9.0414
2430,253.92844,9.0414
2431,253.93957,9.0414
2432,253.9507,9.0414
2433,253.96182,9.0414
2434,253.97295,9.0414
2435,253.98408,9.0414
2436,253.99521,9.0414
2437,254.00634,9.0414
2438,254.01746,9.0414
2439,254.02859,9.0414
2440,254.03972,9.0414
2441,254.05085,9.0414
2442,254.06198,9.0414
2443,254.0731,9.0414
2444,254.08423,9.0414
2445,254.09536,9.0414
2446,254.10649,9.0414
2447,254.11762,9.0414
2448,254.12874,9.0414
2449,254.13987,9.0414
2450,254.151,9.0414
2451,254.16141,9.0414
2452,254.17182,9.0414
2453,254.18224,9.0414
2454,254.19265,9.0414
2455,254.20306,9.0414
2456,254.21347,9.0414
2457,254.22388,9.0414
2458,254.2343,9.0414
2459,254.24471,9.0414
2460,254.25512,9.0414
2461,254.26553,9.0414
2462,254.27594,9.0414
2463,254.28636,9.0414
2464,254.29677,9.0414
2465,254.30718,9.0414
2466,254.31759,9.0414
2467,254.328,9.0414
2468,254.33842,9.0414
2469,254.34883,9.0414
2470,254.35924,9.0414
2471,254.36965,9.0414
2472,254.38006,9.0414
2473,254.39048,9.0414
2474,254.40089,9.0414
2475,254.4113,9.0414
2476,254.42108,9.0414
2477,254.43087,9.0414
2478,254.44065,9.0414
2479,254.45044,9.0414
2480,254.46022,9.0414
2481,254.47,9.0414
2482,254.47979,9.0414
2483,254.48957,9.0414
2484,254.49936,9.0414
2485,254.50914,9.0414
2486,254.51892,9.0414
2487,254.52871,9.0414
2488,254.53849,9.0414
2489,254.54828,9.0414
2490,254.55806,9.0414
2491,254.56784,9.0414
2492,254.57763,9.0414
2493,254.58741,9.0414
2494,254.5972,9.0414
2495,254.60698,9.0414
2496,254.61676,9.0414
2497,254.62655,9.0414
2498,254.63633,9.0414
2499,254.64612,9.0414
2500,254.6559,9.0414
2501,254.6559,9.0414
2502,254.6559,9.0414
2503,254.6559,9.0414
2504,254.6559,9.0414
2505,254.6559,9.0414
2506,254.6559,9.0414
2507,254.6559,9.0414
2508,254.6559,9.0414
2509,254.6559,9.0414
2510,254.6559,9.0414
